city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand
杭州,建德国瑞大酒店,新安江街道新安路281号,29.473498,119.263331,2016,3,235,4.3,
杭州,汉庭杭州西湖文化广场地铁站酒店(原朝晖一店),拱墅区上塘路86号,30.281245,120.169787,2022,2,215,4.9,汉庭
杭州,锦江之星杭州庆春广场酒店,浙江省杭州市上城区新塘路9号,30.255917,120.207823,2023,2,186,4.6,锦江之星
杭州,桔子杭州火车西站浙一医院酒店,杭州市余杭区文一西路1326号利尔达科技园5号楼,30.276200,119.992000,2018,3,360,4.8,桔子
杭州,如家·neo-杭州西湖湖滨步行街音乐喷泉店,杭州市上城区平海路58号旺角大楼,30.254412,120.165774,2014,2,158,4.6,如家
杭州,杭州靖江大酒店,萧山区靖江街道伟神路50号,30.229744,120.473752,2017,3,135,4.5,
杭州,锦江之星（杭州西湖文化广场地铁站酒店）,浙江省杭州市拱墅区文晖路183号中国通信服务产业园,30.281250,120.171934,2025,2,371,4.6,锦江之星
杭州,杭州胤隆会休闲主题酒店,通惠中路698号,30.179290,120.285795,2013,3,205,4.6,
杭州,杭州钱江新城希尔顿惠庭酒店,浙江省杭州市上城区三新路37号,30.260873,120.219947,2022,5,522,4.6,希尔顿
杭州,杭州西溪紫金港希尔顿花园酒店,浙江省杭州市拱墅区丰庆路492号,30.326706,120.098728,2022,5,431,4.9,希尔顿
杭州,德豪设计酒店(临平东湖国际商业中心店),浙江省杭州市临平区东湖街道星光街1082号1幢4楼,30.431516,120.314651,2023,3,166,4.8,
杭州,杭州家乡园度假酒店,杭州市萧山区通惠南路455号。,30.150623,120.285910,2023,3,229,5.0,
杭州,桔子杭州文体中心西溪湿地酒店,西湖区文二西路738号,30.281383,120.079410,2019,3,305,4.8,桔子
杭州,鹿岛鹿角日式榻榻米酒店(临平新天地店),临平藕花洲大街东段1号杭报金都文创大厦1幢109,30.420663,120.307400,2021,3,282,4.5,
杭州,杭州千旬影院酒店,杭州市滨江区长河街道江南天街商业中心3幢（前台登记一楼）,30.200183,120.202146,2020,3,290,5.0,
杭州,汉庭杭州中心武林广场地铁站酒店,杭州市拱墅区中山北路522号,30.271165,120.166721,2020,2,224,4.9,汉庭
杭州,杭州鸬鸟希尔顿花园酒店,鸬鸟镇寻梨街8号,30.469522,119.769431,2017,5,394,4.5,希尔顿
杭州,如家-杭州四季青服装市场庆春东路店,浙江杭州上城区庆春东路66-8（地铁2号线庆菱路站A2出口直走50米，近四季青服装批发市场、钱江新城、邵逸夫医院、浙二医院、浙一医院、红会医院）,30.258619,120.192780,2013,2,179,4.7,如家
杭州,杭州JW万豪酒店,杭州湖墅南路28号,30.274504,120.157166,2010,5,1200,4.5,万豪
杭州,如家neo-杭州武林广场朝晖路运河店,杭州市拱墅区流水东苑11幢,30.277893,120.184128,2018,2,150,4.2,如家
