city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand,services
桂林,麗枫酒店·桂林市中心广场象鼻山景区店,正阳路步行街2号5层1号,25.272980,110.298082,2019,3,295,4.8,,SPA服务;泳池;洗衣机和烘干机;电视可投屏
桂林,全季桂林两江四湖景区酒店,广西省桂林市叠彩区中山中路71号,25.284100,110.297000,2020,3,339,4.9,全季,SPA服务;免费停车
桂林,维也纳酒店(桂林全州高铁汽车站店),半边街全大公路与桂黄路交汇处,25.940129,111.045379,2018,4,122,4.7,,机器人送餐服务;洗衣机和烘干机
桂林,桂林会展国际酒店,广西省桂林市七星区漓江路28号（甲天下广场会展中心旁）,25.262087,110.307014,2019,5,456,4.5,,健身房;泳池
桂林,桂林金水湾国际大酒店,临桂区-金水路口-，近琴潭路口。,25.257998,110.222892,2017,4,163,4.8,,机器人送餐服务;泳池;电视可投屏
桂林,桂林阳朔西街十里画廊亚朵酒店,阳朔镇抗战路6号B栋（第1层第1门面4-8层）,24.771941,110.496539,2021,4,462,4.8,亚朵,健身房;免费停车;洗衣机和烘干机;电视可投屏
桂林,麗枫酒店(桂林火车站两江四湖店),尚智巷64号（桂林火车站对面）,25.261455,110.285075,2020,3,184,4.6,,SPA服务;健身房;免费停车;泳池
桂林,桂林天街国际大酒店,骖鸾路41号彰泰天街8号楼 ，万达广场旁。,25.243324,110.321382,2021,4,199,4.5,,免费停车;机器人送餐服务;洗衣机和烘干机;电视可投屏
桂林,阳朔万豪万枫酒店,广西壮族自治区桂林市阳朔县阳朔镇千古情大道2号,24.778650,110.477260,2024,4,358,4.5,万豪,健身房;免费停车;泳池
桂林,桂林两江四湖象鼻山亚朵酒店,桂林市秀峰区正阳路10号,25.274069,110.297717,2022,4,333,4.7,亚朵,SPA服务;免费停车
桂林,汉庭桂林阳朔西街酒店,观莲路2号,24.770624,110.497310,2025,3,210,4.5,汉庭,免费停车;洗衣机和烘干机
桂林,汉庭桂林两江四湖中山南路店,桂林象山区中山南路74号,25.261582,110.284387,2024,3,229,4.7,汉庭,SPA服务;健身房;机器人送餐服务;电视可投屏
桂林,曼哈顿酒店(桂林高铁北站旗舰店),广西壮族自治区桂林叠彩区北辰路72号万鑫商贸广场1、2、3栋1-5号 商铺,25.328423,110.307660,2019,4,181,4.7,,健身房;免费停车;机器人送餐服务;泳池
桂林,如家旗下-桂林阳朔西街漓江睿柏·云酒店,阳朔镇神山路36号B幢,24.782087,110.492654,2021,3,129,4.8,如家,SPA服务;健身房;机器人送餐服务;洗衣机和烘干机
