origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index
福州,杭州,2025-11-16,FYS,福州南站,HGH,杭州东站,2025-11-16 15:03:00,2025-11-16 20:15:00,312,D3202,动车,二等座,充足,251.0,1,194
福州,杭州,2025-11-16,FYS,福州南站,HGH,杭州东站,2025-11-16 10:24:00,2025-11-16 15:23:00,299,D3166,动车,二等座,充足,268.0,1,191
福州,杭州,2025-11-16,FYS,福州南站,HVU,杭州西站,2025-11-16 15:31:00,2025-11-16 20:01:00,270,G3024,高铁,二等座,充足,342.5,1,209
福州,杭州,2025-11-16,FYS,福州南站,XHH,杭州南站,2025-11-16 11:02:00,2025-11-16 16:27:00,325,G1674,高铁,二等座,充足,291.0,1,210
福州,杭州,2025-11-16,FYS,福州南站,HGH,杭州东站,2025-11-16 14:42:00,2025-11-16 18:49:00,247,G1662,高铁,二等座,充足,353.0,1,207
福州,杭州,2025-11-16,FYS,福州南站,HGH,杭州东站,2025-11-16 15:10:00,2025-11-16 20:04:00,294,G3060,高铁,二等座,充足,289.0,1,203
福州,杭州,2025-11-16,FYS,福州南站,HVU,杭州西站,2025-11-16 08:43:00,2025-11-16 12:42:00,239,D3104,动车,二等座,充足,257.0,1,158
福州,杭州,2025-11-16,FZS,福州站,HGH,杭州东站,2025-11-16 13:06:00,2025-11-16 15:55:00,169,G414,高铁,二等座,充足,344.0,1,160
福州,杭州,2025-11-16,FYS,福州南站,XHH,杭州南站,2025-11-16 14:20:00,2025-11-16 19:23:00,303,D2290,动车,二等座,充足,255.0,1,188
杭州,福州,2025-11-18,XHH,杭州南站,SRG,上饶站,2025-11-18 14:08:00,2025-11-18 15:28:00,80,G495,高铁,二等座,充足,321.0,1,218
杭州,福州,2025-11-18,SRG,上饶站,FZS,福州站,2025-11-18 15:43:00,2025-11-18 17:19:00,96,G3127,高铁,二等座,充足,321.0,2,218
杭州,福州,2025-11-18,HGH,杭州东站,FZS,福州站,2025-11-18 12:48:00,2025-11-18 15:40:00,172,G413,高铁,二等座,充足,344.0,1,217
杭州,福州,2025-11-18,HVU,杭州西站,FYS,福州南站,2025-11-18 14:44:00,2025-11-18 19:10:00,266,G1629,高铁,二等座,充足,342.5,1,257
杭州,福州,2025-11-18,HGH,杭州东站,RAH,瑞安站,2025-11-18 16:50:00,2025-11-18 19:37:00,167,D3235,动车,二等座,充足,223.5,1,236
杭州,福州,2025-11-18,RAH,瑞安站,FZS,福州站,2025-11-18 19:56:00,2025-11-18 21:51:00,115,D3101,动车,二等座,充足,223.5,2,236
杭州,福州,2025-11-18,HGH,杭州东站,FZS,福州站,2025-11-18 08:53:00,2025-11-18 13:35:00,282,G3021,高铁,无座,充足,268.0,1,242
杭州,福州,2025-11-18,HVU,杭州西站,FYS,福州南站,2025-11-18 16:27:00,2025-11-18 20:46:00,259,D3103,动车,二等座,充足,257.0,1,224
杭州,福州,2025-11-18,HGH,杭州东站,FYS,福州南站,2025-11-18 07:20:00,2025-11-18 12:21:00,301,D3123,动车,二等座,充足,268.0,1,248
杭州,福州,2025-11-18,HVU,杭州西站,FZS,福州站,2025-11-18 10:13:00,2025-11-18 14:29:00,256,G3023,高铁,二等座,充足,336.5,1,251
杭州,福州,2025-11-18,HGH,杭州东站,FYS,福州南站,2025-11-18 13:54:00,2025-11-18 18:49:00,295,G197,高铁,一等座,充足,457.0,1,259
杭州,福州,2025-11-18,HGH,杭州东站,FYS,福州南站,2025-11-18 16:50:00,2025-11-18 21:56:00,306,D3235,动车,二等座,充足,223.5,1,239
