restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
大河沟映山红餐厅,重庆,29.587855,106.437853,56.0,餐饮服务;中餐厅;中餐厅,07:00,20:00,中美合作所集中营旧址-渣滓洞监狱,"106.432707,29.585922",29.585922,106.432707,4.2
寻味歌磁中餐厅,重庆,29.583431,106.439710,63.0,餐饮服务;中餐厅;中餐厅,17:00,21:30,中美合作所集中营旧址-渣滓洞监狱,"106.432707,29.585922",29.585922,106.432707,4.3
泰想念泰国餐厅,重庆,29.583056,106.439680,63.0,餐饮服务;外国餐厅;外国餐厅,10:00,22:00,中美合作所集中营旧址-渣滓洞监狱,"106.432707,29.585922",29.585922,106.432707,4.8
林中乐辣子鸡(歌乐山总店),重庆,29.576545,106.427053,100.0,餐饮服务;中餐厅;中餐厅,09:30,20:30,中美合作所集中营旧址-渣滓洞监狱,"106.432707,29.585922",29.585922,106.432707,4.2
廖代秀餐馆,重庆,29.582088,106.418818,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,中美合作所集中营旧址-渣滓洞监狱,"106.432707,29.585922",29.585922,106.432707,3.8
真知味餐馆歌乐山,重庆,29.581598,106.418562,100.0,餐饮服务;中餐厅;四川菜(川菜),09:00,21:00,中美合作所集中营旧址-渣滓洞监狱,"106.432707,29.585922",29.585922,106.432707,3.7
小罗餐馆(中昂嘉御湾店),重庆,29.594886,106.443680,20.0,餐饮服务;中餐厅;四川菜(川菜),09:00,22:00,中美合作所集中营旧址-渣滓洞监狱,"106.432707,29.585922",29.585922,106.432707,4.1
桂群餐馆,重庆,29.582149,106.418282,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,中美合作所集中营旧址-渣滓洞监狱,"106.432707,29.585922",29.585922,106.432707,4.0
立波餐馆(歌乐山店),重庆,29.581612,106.418359,100.0,餐饮服务;中餐厅;中餐厅,08:30,22:00,中美合作所集中营旧址-渣滓洞监狱,"106.432707,29.585922",29.585922,106.432707,4.2
四川外国语大学东苑餐厅,重庆,29.572651,106.438974,50.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,中美合作所集中营旧址-渣滓洞监狱,"106.432707,29.585922",29.585922,106.432707,4.3
鑫怡江景风味餐厅,重庆,29.541884,106.578847,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,南滨路,"106.576856,29.541622",29.541622,106.576856,3.5
鹅艺空间(南滨路店),重庆,29.541583,106.580916,64.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,南滨路,"106.576856,29.541622",29.541622,106.576856,4.4
和记火爆(南滨路店),重庆,29.541567,106.581252,100.0,餐饮服务;中餐厅;中餐厅,17:00,02:00,南滨路,"106.576856,29.541622",29.541622,106.576856,4.6
鲜龙井火锅(南滨路店),重庆,29.540327,106.582700,97.0,餐饮服务;中餐厅;火锅店,09:30,24:00,南滨路,"106.576856,29.541622",29.541622,106.576856,4.1
沉香牛肉面,重庆,29.537018,106.572562,24.0,餐饮服务;中餐厅;中餐厅,07:00,21:00,南滨路,"106.576856,29.541622",29.541622,106.576856,4.6
渝味道风味餐厅(福利社店),重庆,29.535687,106.575028,54.0,餐饮服务;中餐厅;四川菜(川菜),09:30,21:30,南滨路,"106.576856,29.541622",29.541622,106.576856,4.5
兴玥餐厅(后堡社区店),重庆,29.538125,106.570225,100.0,餐饮服务;中餐厅;中餐厅,09:30,21:00,南滨路,"106.576856,29.541622",29.541622,106.576856,4.1
香宇面庄,重庆,29.548771,106.575784,11.0,餐饮服务;中餐厅;中餐厅,06:00,18:00,南滨路,"106.576856,29.541622",29.541622,106.576856,4.6
挤一桌·辣变,重庆,29.534036,106.578180,68.0,餐饮服务;中餐厅;中餐厅,16:30,22:00,南滨路,"106.576856,29.541622",29.541622,106.576856,4.4
福满家火锅,重庆,29.548696,106.573429,100.0,餐饮服务;中餐厅;火锅店,10:00,24:00,南滨路,"106.576856,29.541622",29.541622,106.576856,4.7
百姓餐馆(曾家岩隧道店),重庆,29.560680,106.551088,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,重庆中国三峡博物馆,"106.550513,29.562014",29.562014,106.550513,3.6
峡韵餐馆小面(人民村小区店),重庆,29.562897,106.552496,13.0,餐饮服务;中餐厅;中餐厅,07:00,21:00,重庆中国三峡博物馆,"106.550513,29.562014",29.562014,106.550513,4.1
桃源餐馆,重庆,29.559479,106.549782,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,重庆中国三峡博物馆,"106.550513,29.562014",29.562014,106.550513,3.9
克拉里拉西餐厅,重庆,29.564931,106.549439,100.0,餐饮服务;外国餐厅;法式菜品餐厅,10:00,22:00,重庆中国三峡博物馆,"106.550513,29.562014",29.562014,106.550513,3.7
颐之时花园餐厅,重庆,29.562546,106.546935,35.0,餐饮服务;中餐厅;综合酒楼,09:00,21:00,重庆中国三峡博物馆,"106.550513,29.562014",29.562014,106.550513,4.0
红渝餐馆,重庆,29.558406,106.548331,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,重庆中国三峡博物馆,"106.550513,29.562014",29.562014,106.550513,3.3
常记餐馆,重庆,29.557865,106.549087,21.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,重庆中国三峡博物馆,"106.550513,29.562014",29.562014,106.550513,4.3
小罗餐馆(枣子岚垭正街店),重庆,29.559884,106.555045,19.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,重庆中国三峡博物馆,"106.550513,29.562014",29.562014,106.550513,4.2
樊哥餐馆,重庆,29.559945,106.555127,26.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,重庆中国三峡博物馆,"106.550513,29.562014",29.562014,106.550513,4.2
沃林餐厅,重庆,29.565726,106.554520,16.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,重庆中国三峡博物馆,"106.550513,29.562014",29.562014,106.550513,3.8
