restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
无名老卤面(中华门店),南京,32.014032,118.782467,100.0,餐饮服务;中餐厅;中餐厅,06:00,20:00,中华门城堡,"118.781821,32.012800",32.012800,118.781821,4.7
鸡鸣汤包(南京总店)南京菜,南京,32.011940,118.786703,100.0,餐饮服务;中餐厅;中餐厅,08:30,23:00,中华门城堡,"118.781821,32.012800",32.012800,118.781821,4.5
堂屋·老南京菜馆(老门东店),南京,32.014340,118.786519,90.0,餐饮服务;中餐厅;中餐厅,17:00,21:30,中华门城堡,"118.781821,32.012800",32.012800,118.781821,4.4
蒋有记(老门东店),南京,32.011774,118.786821,25.0,餐饮服务;中餐厅;清真菜馆,08:00,22:30,中华门城堡,"118.781821,32.012800",32.012800,118.781821,4.4
寻魏·金陵十二菜(老门东店),南京,32.012241,118.787144,177.0,餐饮服务;中餐厅;中餐厅,16:30,21:00,中华门城堡,"118.781821,32.012800",32.012800,118.781821,4.7
芸舍餐厅,南京,32.009595,118.785806,100.0,餐饮服务;中餐厅;中餐厅,17:00,21:00,中华门城堡,"118.781821,32.012800",32.012800,118.781821,4.4
新贝乐意大利餐厅·窑炉披萨(老门东店),南京,32.011064,118.786955,70.0,餐饮服务;快餐厅;快餐厅,10:00,22:00,中华门城堡,"118.781821,32.012800",32.012800,118.781821,4.6
夏记早点,南京,32.017659,118.781991,15.0,餐饮服务;中餐厅;中餐厅,04:30,11:00,中华门城堡,"118.781821,32.012800",32.012800,118.781821,4.7
问柳菜馆(老门东店),南京,32.011515,118.787387,100.0,餐饮服务;中餐厅;中餐厅,17:00,21:00,中华门城堡,"118.781821,32.012800",32.012800,118.781821,4.5
歪脖·THE VIBE(夫子庙店),南京,32.017072,118.778978,127.0,体育休闲服务;娱乐场所;酒吧,11:00,21:00,中华门城堡,"118.781821,32.012800",32.012800,118.781821,4.7
后味道·中餐厅,南京,31.990868,118.708386,258.0,餐饮服务;中餐厅;中餐厅,17:30,20:30,南京眼步行桥,"118.703146,31.995131",31.995131,118.703146,3.9
璞膳·禅意餐厅(仁恒江湾新天地店),南京,31.992314,118.709804,400.0,餐饮服务;中餐厅;中餐厅,16:00,21:00,南京眼步行桥,"118.703146,31.995131",31.995131,118.703146,4.2
鄉·全日餐厅,南京,31.990583,118.708585,158.0,餐饮服务;外国餐厅;西餐厅(综合风味),11:00,21:00,南京眼步行桥,"118.703146,31.995131",31.995131,118.703146,4.0
国际青年会议酒店-自助餐厅(南京国际青年会议酒店),南京,31.990660,118.708676,99.0,餐饮服务;外国餐厅;外国餐厅,11:00,21:00,南京眼步行桥,"118.703146,31.995131",31.995131,118.703146,4.1
南京卓美亚酒店·陆潮新派中餐厅,南京,31.991186,118.709348,480.0,餐饮服务;餐饮相关场所;餐饮相关,17:30,21:30,南京眼步行桥,"118.703146,31.995131",31.995131,118.703146,4.5
斑玛瓯越海鲜坊(仁恒里新天地),南京,31.992152,118.710080,191.0,餐饮服务;中餐厅;中餐厅,17:00,23:30,南京眼步行桥,"118.703146,31.995131",31.995131,118.703146,4.6
RONG57·新潮粤菜(国际青年会议中心),南京,31.990397,118.708624,243.0,餐饮服务;中餐厅;中餐厅,16:30,21:00,南京眼步行桥,"118.703146,31.995131",31.995131,118.703146,4.4
富润江湾中餐厅,南京,31.998951,118.711814,100.0,餐饮服务;中餐厅;中餐厅,09:30,21:00,南京眼步行桥,"118.703146,31.995131",31.995131,118.703146,4.4
ANTEP安泰普土耳其餐厅(江山中心店),南京,31.988663,118.710784,166.0,餐饮服务;外国餐厅;外国餐厅,17:00,22:00,南京眼步行桥,"118.703146,31.995131",31.995131,118.703146,4.5
益生园餐厅,南京,32.041985,118.849227,298.0,餐饮服务;中餐厅;中餐厅,16:00,22:00,美龄宫,"118.846557,32.045458",32.045458,118.846557,4.2
美庐餐厅(四方城店),南京,32.049053,118.850510,343.0,餐饮服务;中餐厅;中餐厅,16:30,21:00,美龄宫,"118.846557,32.045458",32.045458,118.846557,4.6
古相机·花园餐厅,南京,32.042471,118.841831,84.0,餐饮服务;餐饮相关场所;餐饮相关,09:00,21:00,美龄宫,"118.846557,32.045458",32.045458,118.846557,4.7
前线大院芳华文化主题餐厅,南京,32.042886,118.840991,294.0,餐饮服务;中餐厅;中餐厅,09:30,22:00,美龄宫,"118.846557,32.045458",32.045458,118.846557,4.2
宽渡酒店(宽渡·翡翠花园餐厅),南京,32.043804,118.840376,100.0,住宿服务;宾馆酒店;经济型连锁酒店|餐饮服务;中餐厅;中餐厅,11:00,21:00,美龄宫,"118.846557,32.045458",32.045458,118.846557,4.9
金杏仁餐厅,南京,32.037985,118.850289,79.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,美龄宫,"118.846557,32.045458",32.045458,118.846557,3.9
长颈鹿茶餐厅(君临紫金商业街店),南京,32.037885,118.850974,53.0,餐饮服务;快餐厅;茶餐厅,09:00,23:59,美龄宫,"118.846557,32.045458",32.045458,118.846557,4.2
谧径爱丽丝花园餐厅 MJ secret wonderland,南京,32.038346,118.840115,136.0,餐饮服务;外国餐厅;西餐厅(综合风味),10:30,21:30,美龄宫,"118.846557,32.045458",32.045458,118.846557,4.6
麦穗咖啡馆(餐厅),南京,32.053088,118.840329,55.0,餐饮服务;咖啡厅;咖啡厅,08:00,18:00,美龄宫,"118.846557,32.045458",32.045458,118.846557,4.4
西来顺(小卫街总店),南京,32.036269,118.853232,100.0,餐饮服务;中餐厅;清真菜馆,07:00,20:30,美龄宫,"118.846557,32.045458",32.045458,118.846557,4.5
晚晴楼美食轩,南京,32.020352,118.789761,100.0,餐饮服务;餐饮相关场所;餐饮相关,17:00,21:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.1
正兴餐厅,南京,32.020275,118.790175,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,2.6
老宋记捞汁小海鲜,南京,32.021861,118.789212,100.0,餐饮服务;餐饮相关场所;餐饮相关,11:00,21:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.3
天圆楼真江南时尚餐厅(夫子庙店),南京,32.019013,118.790272,100.0,餐饮服务;中餐厅;中餐厅,10:00,23:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.3
十壹景观露台餐吧(夫子庙步行街店),南京,32.021395,118.791283,79.0,餐饮服务;外国餐厅;西餐厅(综合风味),11:00,22:30,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.3
天丰楼餐厅,南京,32.020696,118.786196,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,3.7
永和园酒楼,南京,32.022689,118.787481,100.0,餐饮服务;中餐厅;综合酒楼,16:30,22:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.3
夜泊秦淮君亭酒店餐厅(大戏院店),南京,32.021996,118.791824,194.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.2
永盛利茶餐厅(夫子庙店),南京,32.023204,118.787265,65.0,餐饮服务;快餐厅;茶餐厅,10:00,22:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.2
贝拉厨房牛排不限量餐厅(茂业天地店),南京,32.022530,118.786194,77.0,餐饮服务;中餐厅;中餐厅,16:30,21:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.4
和必德中式自选餐厅(大观天地店),南京,32.092845,118.743475,24.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,南京静海寺纪念馆,"118.744723,32.092359",32.092359,118.744723,3.8
