poi_name,latitude,longitude,address,poi_type
郑州博物馆新馆,34.739600,113.546720,,attraction
郑州商都国家考古遗址公园,34.753775,113.690498,,attraction
二七纪念馆,34.752186,113.666494,,attraction
北龙湖湿地公园,34.812300,113.789100,,attraction
郑东新区CBD,34.769100,113.753400,,attraction
紫荆山公园,34.761890,113.687708,,attraction
黄河风景名胜区,34.920000,113.630000,,attraction
郑州文庙,34.748659,113.688345,,attraction
黄河博物馆,34.871840,113.677764,,attraction
惠济桥遗址公园,34.892354,113.585469,,attraction
韩风源烧烤涮自助餐厅(亚细亚卓悦城店),34.751785,113.667704,,restaurant
粤海酒店璇宫西餐厅(二七广场),34.749629,113.667658,,restaurant
粤海酒店-粤海轩中餐厅,34.749142,113.667796,,restaurant
虎丫炒鸡(河南郑州二七万象城店),34.754815,113.662798,,restaurant
几许民谣烧烤馆(郑州光彩店),34.755287,113.669676,,restaurant
绿茶餐厅(郑州万象城店),34.754667,113.662403,,restaurant
郑州郑百餐厅(郑州百货大楼店),34.756286,113.668080,,restaurant
五号公路餐厅石烧牛扒(大卫城店),34.756777,113.666316,,restaurant
冒张张油卤串串(国贸360店),34.783597,113.675687,,restaurant
曼玉(丹尼斯·大卫城店),34.756848,113.666241,,restaurant
小滋味餐厅,34.740996,113.539988,,restaurant
郑州奥体建国饭店-海鲜自助餐厅,34.739770,113.537534,,restaurant
郑地奥体建国饭店全日制餐厅,34.740659,113.537609,,restaurant
酒巭餐厅,34.739579,113.561973,,restaurant
牡丹餐厅(翊尔酒管公司),34.739995,113.562140,,restaurant
M艺术餐厅七德胜·牛肉面,34.739800,113.563173,,restaurant
瓦库50号(凯旋路店),34.740377,113.563327,,restaurant
郑州绿地JW万豪酒店(万豪中餐厅),34.770905,113.727350,,restaurant
千玺云端餐厅(千玺广场店),34.771075,113.727225,,restaurant
郑州大玉米G PLUS空中观景餐厅,34.770914,113.727493,,restaurant
郑州绿地JW万豪酒店·都会尚膳自助餐厅,34.771054,113.727309,,restaurant
醉巴鲜烤鱼(千玺广场店),34.770902,113.727580,,restaurant
二广餐馆,34.757454,113.691651,,restaurant
河南省中医药研究院附属医院餐厅,34.755083,113.685722,,restaurant
河南大学附属郑州第一人民医院·营养餐厅,34.750370,113.685219,,restaurant
甄玉川宴会中心,34.747760,113.691761,,restaurant
老吴喵馆·猫咖餐厅(新世界百货店),34.752925,113.682675,,restaurant
郑州索菲特国际饭店·圆顶阁西餐厅,34.761863,113.692708,,restaurant
鸿源餐厅,34.761674,113.693653,,restaurant
索菲特国际饭店(粤唯先中餐厅),34.761932,113.692486,,restaurant
宇通退休职工餐厅(宇通花园郑汴路42号院店),34.747100,113.697080,,restaurant
蒋阿侨挞挞面(大上海店),34.755928,113.670393,,restaurant
妈妈餐厅(城东路店),34.748675,113.691225,,restaurant
闽豫中餐厅(金多银多珠宝店),34.748684,113.681630,,restaurant
妈妈餐厅,34.745025,113.680175,,restaurant
方中山胡辣汤(总店),34.760065,113.682462,,restaurant
双生四季甜品融合餐厅(姚桥社区北院店),34.813115,113.795071,,restaurant
炫歌音乐餐吧,34.809266,113.793947,,restaurant
石见里融合餐厅,34.818459,113.794111,,restaurant
湖畔餐厅,34.803494,113.786967,,restaurant
粗粮小厨羊肉大串鲜炒鸡,34.809780,113.800337,,restaurant
享百味尚上锅29元火锅自助餐厅(时埂社区店)(暂停营业),34.808834,113.797840,,restaurant
直三院营养餐厅,34.767625,113.751240,,restaurant
至尊强仔(正光北街店),34.771566,113.754982,,restaurant
誉龙轩茶餐厅(豫航中心店),34.771871,113.755230,,restaurant
海容大酒店西餐厅,34.768486,113.749551,,restaurant
广义信阳毛尖茶餐厅(豫航店),34.771881,113.755782,,restaurant
鑫仕麟假日酒店-原素餐厅,34.771175,113.757935,,restaurant
美盛喜来登大酒店-盛宴标帜餐厅,34.764000,113.754711,,restaurant
盛·星廷牛排餐厅,34.763882,113.754664,,restaurant
天明坊五味药膳餐厅,34.772309,113.759111,,restaurant
宋风雅宴·宋文化餐厅(尚座中心店),34.763443,113.756145,,restaurant
银杏树海鲜餐厅(金水路店),34.763326,113.684358,,restaurant
机关餐厅快餐部,34.764882,113.689757,,restaurant
堂后可以兴茶宴,34.764738,113.684978,,restaurant
郑州中州智选假日酒店餐厅,34.762887,113.692533,,restaurant
星璨餐厅,34.764980,113.691112,,restaurant
紫荆山宾馆-餐厅,34.764942,113.691889,,restaurant
广东餐厅(二马路),34.749825,113.660012,,restaurant
华豫川餐厅(丹尼斯.七天地店),34.777780,113.722674,,restaurant
御膳堂·药膳餐厅(御玺大厦店),34.747991,113.699877,,restaurant
张掌柜鹅堡,34.870717,113.670712,,restaurant
大塘餐厅虾饺专门店(迎宾路店),34.871556,113.665047,,restaurant
郑州天地丽笙酒店-品自助餐厅,34.859568,113.678526,,restaurant
郑州师范学院东区静馨园餐厅,34.863435,113.659282,,restaurant
信阳融合餐厅,34.889033,113.574616,,restaurant
便民餐馆,34.886025,113.569690,,restaurant
肯德基车速取餐厅(江山路DT店),34.880231,113.572945,,restaurant
营养健康餐厅,34.744171,113.652484,,restaurant
阿香米线(郑州二七杉杉奥莱餐厅),34.526573,113.855171,,restaurant
郑州机场大酒店中餐厅,34.528534,113.843450,,restaurant
休息室餐厅,34.754747,113.783314,,restaurant
郑州合盛怡思得酒店·心邸餐厅(绿地缤纷城店),34.761864,113.772727,,restaurant
澜亭叙茶餐厅,34.753801,113.774832,,restaurant
云朵轩餐厅(金融广场店),34.537244,113.826908,,restaurant
方中山胡辣汤(港区一店),34.537354,113.833042,,restaurant
栖遇广式茶餐厅,34.540161,113.830394,,restaurant
郑州航空港区轰饮主题餐吧,34.530293,113.823391,,restaurant
南边风车格尔国际饭店中餐厅,34.719198,113.764169,,restaurant
郑州市公安局公安交通管理局交警十二支队餐厅,34.715080,113.765103,,restaurant
米皮记清真餐厅(姚砦路店),34.776594,113.704493,,restaurant
超能鹿战队健身减脂餐厅(金成时代广场店),34.777542,113.706140,,restaurant
河南乾德二楼职工餐厅,34.691973,113.804440,,restaurant
琼林宴·融合餐厅,34.694179,113.788699,,restaurant
蝶湖聚聚餐厅,34.689808,113.779198,,restaurant
友金生珠宝茶餐厅(伟业象湖苑店),34.769988,113.864010,,restaurant
