origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
重庆,厦门,2025-11-12,CKG,江北国际机场,SHA,虹桥国际机场,2025-11-12 06:25:00,2025-11-12 08:45:00,140,MU5422,东航,经济舱,充足,320,中型机,空客,400,1,12
重庆,厦门,2025-11-12,SHA,虹桥国际机场,XMN,高崎国际机场,2025-11-12 16:55:00,2025-11-12 19:00:00,125,MU8381,东航,经济舱,充足,320,中型机,空客,400,2,12
重庆,厦门,2025-11-12,CKG,江北国际机场,XMN,高崎国际机场,2025-11-12 07:50:00,2025-11-12 10:05:00,135,MF8414,厦航,经济舱,充足,737,中型机,波音,960,1,2
重庆,厦门,2025-11-12,CKG,江北国际机场,XMN,高崎国际机场,2025-11-12 19:55:00,2025-11-12 22:15:00,140,MF8424,厦航,经济舱,充足,737,中型机,波音,989,1,5
重庆,厦门,2025-11-12,CKG,江北国际机场,WUX,苏南硕放国际机场,2025-11-12 10:55:00,2025-11-12 13:10:00,135,MU9766,东航,经济舱,充足,320,中型机,空客,549,1,13
重庆,厦门,2025-11-12,WUX,苏南硕放国际机场,XMN,高崎国际机场,2025-11-12 19:25:00,2025-11-12 21:15:00,110,MU2973,东航,经济舱,充足,320,中型机,空客,549,2,13
重庆,厦门,2025-11-12,CKG,江北国际机场,XMN,高崎国际机场,2025-11-12 11:00:00,2025-11-12 13:20:00,140,SC2136,山航,经济舱,充足,737,中型机,波音,1053,1,6
重庆,厦门,2025-11-12,CKG,江北国际机场,XMN,高崎国际机场,2025-11-12 11:05:00,2025-11-12 13:15:00,130,MF8404,厦航,经济舱,充足,737,中型机,波音,1357,1,9
重庆,厦门,2025-11-12,CKG,江北国际机场,XMN,高崎国际机场,2025-11-12 16:00:00,2025-11-12 18:20:00,140,3U8087,川航,经济舱,充足,319,中型机,空客,1133,1,7
重庆,厦门,2025-11-12,CKG,江北国际机场,XMN,高崎国际机场,2025-11-12 20:35:00,2025-11-12 22:50:00,135,SC2142,山航,经济舱,充足,737,中型机,波音,994,1,4
重庆,厦门,2025-11-12,CKG,江北国际机场,CAN,白云国际机场,2025-11-12 17:15:00,2025-11-12 19:15:00,120,CZ3426,南航,经济舱,充足,320,中型机,空客,1140,1,14
重庆,厦门,2025-11-12,CAN,白云国际机场,XMN,高崎国际机场,2025-11-12 20:05:00,2025-11-12 21:30:00,85,CZ3805,南航,经济舱,充足,737,中型机,波音,1140,2,14
重庆,厦门,2025-11-12,CKG,江北国际机场,XMN,高崎国际机场,2025-11-12 11:05:00,2025-11-12 13:15:00,130,3U2514,川航,经济舱,充足,737,中型机,波音,1360,1,10
厦门,重庆,2025-11-17,XMN,高崎国际机场,CKG,江北国际机场,2025-11-17 20:25:00,2025-11-17 23:20:00,175,CA4675,国航,经济舱,充足,737,中型机,波音,770,1,17
厦门,重庆,2025-11-17,XMN,高崎国际机场,CKG,江北国际机场,2025-11-17 11:25:00,2025-11-17 14:15:00,170,G58068,华夏,经济舱,充足,737,中型机,波音,1210,1,22
厦门,重庆,2025-11-17,XMN,高崎国际机场,HGH,萧山国际机场,2025-11-17 14:20:00,2025-11-17 15:50:00,90,CA4653,国航,经济舱,充足,737,中型机,波音,620,1,26
厦门,重庆,2025-11-17,HGH,萧山国际机场,CKG,江北国际机场,2025-11-17 20:10:00,2025-11-17 23:05:00,175,CA4578,国航,经济舱,充足,737,中型机,波音,620,2,26
厦门,重庆,2025-11-17,XMN,高崎国际机场,CKG,江北国际机场,2025-11-17 06:55:00,2025-11-17 09:50:00,175,SC2135,山航,经济舱,充足,737,中型机,波音,962,1,19
厦门,重庆,2025-11-17,XMN,高崎国际机场,CKG,江北国际机场,2025-11-17 20:25:00,2025-11-17 23:20:00,175,SC2141,山航,经济舱,充足,737,中型机,波音,710,1,15
厦门,重庆,2025-11-17,XMN,高崎国际机场,CKG,江北国际机场,2025-11-17 11:25:00,2025-11-17 14:15:00,170,CA4566,国航,经济舱,充足,737,中型机,波音,1180,1,20
厦门,重庆,2025-11-17,XMN,高崎国际机场,CKG,江北国际机场,2025-11-17 11:25:00,2025-11-17 14:15:00,170,SC5182,山航,经济舱,充足,737,中型机,波音,1210,1,21
厦门,重庆,2025-11-17,XMN,高崎国际机场,CSX,黄花机场,2025-11-17 13:15:00,2025-11-17 14:50:00,95,JD5594,海航｜首都航空,经济舱,充足,320,中型机,空客,850,1,27
厦门,重庆,2025-11-17,CSX,黄花机场,CKG,江北国际机场,2025-11-17 16:25:00,2025-11-17 18:00:00,95,3U8010,川航,经济舱,充足,320,中型机,空客,850,2,27
厦门,重庆,2025-11-17,XMN,高崎国际机场,CKG,江北国际机场,2025-11-17 06:50:00,2025-11-17 10:00:00,190,MF8403,厦航,经济舱,充足,737,中型机,波音,899,1,18
厦门,重庆,2025-11-17,XMN,高崎国际机场,CKG,江北国际机场,2025-11-17 15:55:00,2025-11-17 18:50:00,175,MF8423,厦航,经济舱,充足,737,中型机,波音,1357,1,23
